I need my money to work for me,Life_event
I want to buy an airplane,Life_event
Can I offer a $500K.,Life_event
how do I protect my money against inflation,Life_event
my email is not working,Password_Reset
is userid my email or something else?,Password_Reset
I'd like to open a checking account.,Life_event
I need to protect my money,Life_event
How do I transfer money to another account?,HowTo_question
you're not the brightest bulb in the bag,Customer_service
My account is locked.,Password_Reset
are you FDIC?,Life_event
Do you sell ETFs?,Life_event
I need a new account,Life_event
What savings rates do you offer?,Life_event
Can I add a new savings account?,Life_event
do you speak spanish,Customer_service
I want to build a pool,Life_event
Why don't you remember me?,Password_Reset
How do I reset my password?,HowTo_question
I don't remember my account number,Password_Reset
can I speak to someone please,Customer_service
what kind of mutual funds do you offer?,Life_event
I need a mortgage,Life_event
where are the people,Customer_service
I don't recall my username.,Password_Reset
there is false charge on my credit card,Customer_service
do you offer 15 year mortgages,Life_event
I need a hot tub,Life_event
Your password rules suck.,Password_Reset
Can you help me buy a house?,Life_event
Can you tell me how to cancel my account?,HowTo_question
Where do I enable auto pay?,HowTo_question
I need to remodel my kitchen,Life_event
where are your branch locations?,HowTo_question
Can you unlock my account?,Password_Reset
I want a new gun,Life_event
do you sell gold?,Life_event
what credit score do I need for a credit card,Life_event
I need to setup a college fund for my children.,Life_event
you aren't that smart,Customer_service
are you a robot?,Customer_service
How do I cancel my account?,HowTo_question
Can I speak to a person?,HowTo_question
I need money,Life_event
can I get some help up in here?,Customer_service
Why can't I login?,Password_Reset
where do I close my account,HowTo_question
do you lend money to veterans,Life_event
Is my password wrong?,Password_Reset
my car is old,Life_event
I need a credit card,Life_event
do you offer loans for RVs?,Life_event
How can I check my balance?,HowTo_question
you don't understand,Customer_service
what are you car loan rates,Life_event
do you have banks in london,HowTo_question
when is my next payment due,Customer_service
what is your phone number,Customer_service
I can't log in,Password_Reset
I need help.,Customer_service
I don't remember my password.,Password_Reset
Where do I change my password?,HowTo_question
I had a child and want to add a college savings plan for him.,Customer_service
I got a raise at work,Life_event
you aren't very helpful,Customer_service
I want a new boat,Life_event
where is my money,Customer_service
How do I pay off my mortgage?,HowTo_question
What is the maximum mortgage I can afford?,Life_event
I'm trying to borrow money,Life_event
do you sell treasury bills?,Life_event
How long must my password be?,HowTo_question
I'd like to buy a new car,Life_event
I want a loan,Life_event
I'm thinking about retiring,Life_event
my kids need braces,Life_event
I like fudge.,Customer_service
my balance shows zero,Customer_service
can you help me purchase an RV?,Life_event
I need to order new checks,HowTo_question
Can you tell me how to transfer money to my checking account?,HowTo_question
can you help me login?,Password_Reset
you're not getting it,Customer_service
can I pay off my car early,HowTo_question
I can't login.,Password_Reset
can you call me please,Customer_service
Where is your nearest location?,HowTo_question
I want to speak to a customer service rep.,Customer_service
can I borrow some money,Life_event
Do you sell stocks?,Life_event
can my wife and setup a joint account?,Life_event
where do I designate beneficiaries?,HowTo_question
I don't want to speak to a robot.,Customer_service
I'd like to lease an automobile,Life_event
How do I check my balance?,HowTo_question
what is my balance,HowTo_question
who can I speak to about a fraudulent charge,Customer_service
I'm taking my family to another country for vacation,Life_event
Do you offer bonds?,Life_event
Who the hell can keep up with all of these userids?,Password_Reset
Can I trade currencies?,Life_event
I'd like help buying a house,Life_event
I received a bonus at work,Life_event
I'm starting a new business,Life_event
Do you offer an 401K plan?,Life_event
I need a brokerage account.,Life_event
can I have two mortgages,Life_event
I just got promoted,Life_event
can I transfer money from my brokerage account,HowTo_question
I just inherited a lot of money,Life_event
Can I speak to a customer service rep.,Customer_service
do you offer jumbo loans?,Life_event
what's the interest rate on your savings accounts,Life_event
how much would my payment be for a $400K.,Life_event
what services do you offer,Life_event
Can I borrow money against my home?,Life_event
Where can I see my account balances?,HowTo_question
My password isn't working,Password_Reset
I'm thinking about a new place on the ocean.,Life_event
how much money do I need for retirement,Life_event
Can I transfer money from my iphone?,HowTo_question
what sort of loans do you offer?,Life_event
I want to buy stocks,Life_event
do you have a mobile app,HowTo_question
I'd like to buy a house.,Life_event
I just want a checking account.,Life_event
please email me,Customer_service
how do I see my net worth,HowTo_question
you're stupid,Customer_service
I only speak with live people,Customer_service
Can I use my social security number for logging in?,Password_Reset
You don't understand what I'm asking.,Customer_service
my kids are going to college,Life_event
my wife wants a diamond ring,Life_event
there are incorrect charges on my account,Customer_service
is a 15 year loan cheaper than a 30 year loan?,Life_event
Do you offer IRA investments?,Life_event
I don't think this is working,Customer_service
I'd like a vacation home,Life_event
I have a million dollars,Life_event
yeah so I couldn't access my account,Password_Reset
